STONNINGTON ,87
BANYULE ,75
BOROONDARA ,59
GREATER GEELONG ,58
MELBOURNE ,55
MORNINGTON PENINSULA ,54
CASEY ,47
MORELAND ,47
GLEN EIRA ,45
PORT PHILLIP ,44
MONASH ,40
FRANKSTON ,36
MOONEE VALLEY ,36
HUME ,33
DAREBIN ,32
BAYSIDE ,29
BRIMBANK ,28
WYNDHAM ,27
MANNINGHAM ,24
YARRA ,23
NILLUMBIK ,22
WHITTLESEA ,22
WHITEHORSE ,21
YARRA RANGES ,21
KINGSTON ,20
MELTON ,18
GREATER DANDENONG ,15
HOBSONS BAY ,13
KNOX ,12
CARDINIA ,11
BALLARAT ,10
MARIBYRNONG ,10
MOIRA  ,10
GREATER BENDIGO ,9
GREATER SHEPPARTON ,9
MAROONDAH ,9
MITCHELL ,9
SURF COAST ,9
WELLINGTON ,8
LATROBE ,6
MOUNT ALEXANDER ,6
BAW BAW ,5
MACEDON RANGES ,5
MILDURA ,5
WARRNAMBOOL ,5
BASS COAST ,4
SOUTH GIPPSLAND ,4
BENALLA ,3
HORSHAM ,3
LODDON ,3
MANSFIELD ,3
NORTHERN GRAMPIANS ,3
SWAN HILL ,3
CAMPASPE ,2
HEPBURN ,2
SOUTHERN GRAMPIANS ,2
STRATHBOGIE ,2
ARARAT ,1
CENTRAL GOLDFIELDS ,1
CORANGAMITE ,1
EAST GIPPSLAND ,1
GANNAWARRA ,1
GOLDEN PLAINS ,1
MOORABOOL ,1
MOYNE ,1
MURRINDINDI ,1
WANGARATTA ,1
WEST WIMMERA ,1
WODONGA ,1
YARRIAMBIACK ,1